site_id	dataset	read_id	site_pos0	window_start0	window_end0	strand	mapq
S2	UNMOD	250F601844011_3_3932_1098_44228549_80110	40048033	40048028	40048038	+	3
S2	UNMOD	250F601844011_3_574_1240_46249972_105577	40048033	40048028	40048038	+	19
S2	UNMOD	250F601844011_3_896_1334_50792760_147678	40048033	40048028	40048038	-	1
S2	UNMOD	250F601844011_4_1349_977_65397138_37267	40048033	40048028	40048038	+	1
S2	UNMOD	250F601844011_4_1384_1526_69125196_36764	40048033	40048028	40048038	+	1
S2	UNMOD	250F601844011_4_1747_1539_58793327_68604	40048033	40048028	40048038	+	24
S2	UNMOD	250F601844011_4_2051_920_54420596_151767	40048033	40048028	40048038	-	17
S2	UNMOD	250F601844011_4_4208_1334_63792313_76839	40048033	40048028	40048038	+	23
S2	UNMOD	250F601844011_4_672_1150_63222420_95919	40048033	40048028	40048038	+	14
S2	UNMOD	250F601844011_4_777_1654_65105508_65557	40048033	40048028	40048038	+	1
S3	MOD	250F500490011_1_4161_70_11160559_28700	27359469	27359464	27359474	+	1
S3	MOD	250F500490011_2_1113_162_30781034_401892	27359469	27359464	27359474	+	8
S3	MOD	250F500490011_2_2056_197_35626786_150625	27359469	27359464	27359474	-	2
S3	MOD	250F500490011_3_1074_328_39327877_750109	27359469	27359464	27359474	+	6
S3	MOD	250F500490011_3_3310_278_39649554_815475	27359469	27359464	27359474	+	1
S3	MOD	250F500490011_40_224_2668_703596427_86847	27359469	27359464	27359474	-	6
S3	MOD	250F500490011_41_97_2973_715519470_196243	27359469	27359464	27359474	-	2
S3	MOD	250F500490011_45_1225_1856_800220008_426507	27359469	27359464	27359474	-	4
S3	MOD	250F500490011_48_1219_1232_849249228_137331	27359469	27359464	27359474	-	1
S3	MOD	250F500490011_4_5244_168_57583512_925327	27359469	27359464	27359474	+	6
S3	MOD	250F500490011_6_1107_656_102513586_664926	27359469	27359464	27359474	+	6
S3	UNMOD	250F601844011_1_1887_334_12341547_95642	27359469	27359464	27359474	+	4
S3	UNMOD	250F601844011_1_1919_93_3065019_102622	27359469	27359464	27359474	-	1
S3	UNMOD	250F601844011_1_193_166_6621620_64317	27359469	27359464	27359474	+	3
S3	UNMOD	250F601844011_1_1945_188_7350730_44849	27359469	27359464	27359474	-	0
S3	UNMOD	250F601844011_1_3486_334_11653218_69840	27359469	27359464	27359474	+	7
S3	UNMOD	250F601844011_2_2158_543_25954323_77466	27359469	27359464	27359474	-	1
S3	UNMOD	250F601844011_2_2451_791_35332192_43615	27359469	27359464	27359474	+	1
S3	UNMOD	250F601844011_2_3159_334_27714442_16832	27359469	27359464	27359474	-	1
S3	UNMOD	250F601844011_2_3411_704_26579930_31712	27359469	27359464	27359474	-	1
S3	UNMOD	250F601844011_2_727_676_21410543_90055	27359469	27359464	27359474	+	1
S3	UNMOD	250F601844011_3_2329_878_46236180_109118	27359469	27359464	27359474	+	15
S3	UNMOD	250F601844011_4_2147_1427_65591217_51894	27359469	27359464	27359474	+	10
S3	UNMOD	250F601844011_4_3565_1150_64895117_45182	27359469	27359464	27359474	-	1
S3	UNMOD	250F601844011_4_4042_1086_54544978_92319	27359469	27359464	27359474	-	2
S3	UNMOD	250F601844011_4_4500_1160_57995644_64579	27359469	27359464	27359474	-	3
S4	MOD	250F500490011_10_1133_636_171658133_1285951	53161025	53161020	53161030	+	1
S4	MOD	250F500490011_1_76_98_10176243_45793	53161025	53161020	53161030	-	1
S4	MOD	250F500490011_33_4281_1956_582068481_59070	53161025	53161020	53161030	-	1
S4	MOD	250F500490011_39_1266_3245_681590663_126131	53161025	53161020	53161030	-	1
S4	MOD	250F500490011_43_121_1774_751905265_55490	53161025	53161020	53161030	+	1
S4	MOD	250F500490011_4_1195_427_59924376_542452	53161025	53161020	53161030	-	1
S4	MOD	250F500490011_4_80_377_54585108_44816	53161025	53161020	53161030	-	9
S4	MOD	250F500490011_62_1174_3213_1094876433_1566986	53161025	53161020	53161030	+	60
S4	UNMOD	250F601844011_1_1069_264_9877875_43093	53161025	53161020	53161030	+	1
S4	UNMOD	250F601844011_1_1408_386_13641176_147153	53161025	53161020	53161030	-	8
S4	UNMOD	250F601844011_1_178_39_1243073_165531	53161025	53161020	53161030	-	1
S4	UNMOD	250F601844011_1_2179_138_6214328_96181	53161025	53161020	53161030	-	1
S4	UNMOD	250F601844011_1_3576_219_8671718_102108	53161025	53161020	53161030	+	1
S4	UNMOD	250F601844011_1_4092_365_13904490_90365	53161025	53161020	53161030	+	1
S4	UNMOD	250F601844011_1_856_518_17183115_187568	53161025	53161020	53161030	+	2
S4	UNMOD	250F601844011_2_1250_507_27836559_26780	53161025	53161020	53161030	+	1
S4	UNMOD	250F601844011_2_1664_488_22402810_101081	53161025	53161020	53161030	-	8
S4	UNMOD	250F601844011_2_2934_550_22737989_65653	53161025	53161020	53161030	+	4
S4	UNMOD	250F601844011_2_3104_744_29837399_81002	53161025	53161020	53161030	-	1
S4	UNMOD	250F601844011_2_3905_559_21385973_66425	53161025	53161020	53161030	+	1
S4	UNMOD	250F601844011_2_6_463_19682468_75229	53161025	53161020	53161030	-	1
S4	UNMOD	250F601844011_2_90_581_31382415_27658	53161025	53161020	53161030	-	3
S4	UNMOD	250F601844011_3_2243_888_43876227_49746	53161025	53161020	53161030	-	7
S4	UNMOD	250F601844011_3_2431_475_40701880_244977	53161025	53161020	53161030	+	3
S4	UNMOD	250F601844011_3_2777_1072_49709767_318982	53161025	53161020	53161030	-	1
S4	UNMOD	250F601844011_3_3681_830_43118927_98385	53161025	53161020	53161030	+	5
S4	UNMOD	250F601844011_3_3931_940_39119234_70558	53161025	53161020	53161030	+	1
S4	UNMOD	250F601844011_4_1299_695_60947021_85163	53161025	53161020	53161030	+	1
S4	UNMOD	250F601844011_4_2741_1518_68130604_82140	53161025	53161020	53161030	-	2
S4	UNMOD	250F601844011_4_3658_1046_55518526_82885	53161025	53161020	53161030	-	1
S4	UNMOD	250F601844011_4_802_1699_64437655_30714	53161025	53161020	53161030	-	1
S5	MOD	250F500490011_1_101_54_5913785_49966	17819473	17819468	17819478	+	60
S5	MOD	250F500490011_1_3163_99_12766081_42208	17819473	17819468	17819478	-	60
S5	MOD	250F500490011_2_3294_185_23809840_477691	17819473	17819468	17819478	+	60
S5	MOD	250F500490011_34_4204_848_590774511_585547	17819473	17819468	17819478	-	60
S5	MOD	250F500490011_36_3165_3196_639387471_1235312	17819473	17819468	17819478	+	60
S5	MOD	250F500490011_3_2178_246_52158615_1399482	17819473	17819468	17819478	+	60
S5	MOD	250F500490011_52_95_3674_911121634_699593	17819473	17819468	17819478	+	60
S5	MOD	250F500490011_65_1218_2915_1146234847_213079	17819473	17819468	17819478	-	60
S5	UNMOD	250F601844011_1_1100_497_16824933_72196	17819473	17819468	17819478	-	60
S5	UNMOD	250F601844011_1_3843_472_17943504_22933	17819473	17819468	17819478	+	60
S5	UNMOD	250F601844011_2_1625_770_30801040_214811	17819473	17819468	17819478	-	60
S5	UNMOD	250F601844011_2_2094_588_26269167_52678	17819473	17819468	17819478	-	60
S5	UNMOD	250F601844011_2_3287_561_21414284_66101	17819473	17819468	17819478	-	60
S5	UNMOD	250F601844011_2_3492_711_27834482_54609	17819473	17819468	17819478	-	60
S5	UNMOD	250F601844011_3_1898_1139_50562328_230152	17819473	17819468	17819478	+	60
S5	UNMOD	250F601844011_4_1953_1665_64200709_24319	17819473	17819468	17819478	-	60
S5	UNMOD	250F601844011_4_4041_1505_57831487_145802	17819473	17819468	17819478	-	60
S5	UNMOD	250F601844011_4_636_1293_54961528_33470	17819473	17819468	17819478	-	60
S5	UNMOD	250F601844011_4_833_1084_63557418_37669	17819473	17819468	17819478	-	60
